"word","accept","user_ask","user_check"
"AACHENER","1","0","0"
"AAL","1","0","0"
"AALBUTT","1","0","0"
"AALE","1","0","0"
"AALEN","1","0","0"
"AALFANG","1","0","0"
"AALFISCH","1","0","0"
"AALFLETE","1","0","0"
"AALFOERMIG","1","0","0"
"AALGABEL","1","0","0"
"AALGLATT","1","0","0"
"AALIG","1","0","0"
"AALKISTE","1","0","0"
"AALKORB","1","0","0"
"AALLEITER","1","0","0"
"AALMOLCH","1","0","0"
"AALMUTTER","1","0","0"
"AALQUAPPE","1","0","0"
"AALSTACHEL","1","0","0"
"AALSTECHEN","1","0","0"
"AALSTRICH","1","0","0"
"AALSUPPE","1","0","0"
"AALTIERCHEN","1","0","0"
"AARGAUER","1","0","0"
"AARGAUISCH","1","0","0"
"AARWEIHE","1","0","0"
"AAS","1","0","0"
"AASBLUME","1","0","0"
"AASEN","1","0","0"
"AASEREI","1","0","0"
"AASFLIEGE","1","0","0"
"AASFLIEGENBLUME","1","0","0"
"AASFRESSER","1","0","0"
"AASGEIER","1","0","0"
"AASGERUCH","1","0","0"
"AASHAFT","1","0","0"
"AASIG","1","0","0"
"AASJAEGER","1","0","0"
"AASKAEFER","1","0","0"
"AASKRAEHE","1","0","0"
"AASRABE","1","0","0"
"AASSEITE","1","0","0"
"AB","1","0","0"
"ABAKTERIELL","1","0","0"
"ABAKUS","1","0","0"
"ABALIENATION","1","0","0"
"ABALIENIEREN","1","0","0"
"ABANDON","1","0","0"
"ABANDONNEMENT","1","0","0"
"ABANDONNIEREN","1","0","0"
"ABANDONREVERS","1","0","0"
"ABARBEITEN","1","0","0"
"ABARBEITUNG","1","0","0"
"ABART","1","0","0"
"ABARTEN","1","0","0"
"ABARTIG","1","0","0"
"ABARTIGKEIT","1","0","0"
"ABARTIKULATION","1","0","0"
"ABARTLING","1","0","0"
"ABARTUNG","1","0","0"
"ABASIE","1","0","0"
"ABATISCH","1","0","0"
"ABATON","1","0","0"
"ABAZISKUS","1","0","0"
"ABAZISSUS","1","0","0"
"ABAENDERLICH","1","0","0"
"ABAENDERN","1","0","0"
"ABAENDERUNG","1","0","0"
"ABAENDERUNGEN","1","0","0"
"ABAENGSTIGEN","1","0","0"
"ABAERGERN","1","0","0"
"ABAESEN","1","0","0"
"ABAESTEN","1","0","0"
"ABAETZEN","1","0","0"
"ABBA","1","0","0"
"ABBACKEN","1","0","0"
"ABBALGEN","1","0","0"
"ABBANDONO","1","0","0"
"ABBAU","1","0","0"
"ABBAUEN","1","0","0"
"ABBAUFELD","1","0","0"
"ABBAUHAMMER","1","0","0"
"ABBAUKRANKHEIT","1","0","0"
"ABBAUMEN","1","0","0"
"ABBAUPRODUKTE","1","0","0"
"ABBAURECHT","1","0","0"
"ABBAUREIF","1","0","0"
"ABBAUS","1","0","0"
"ABBAUTEN","1","0","0"
"ABBAUWUERDIG","1","0","0"
"ABBEDINGEN","1","0","0"
"ABBEEREN","1","0","0"
"ABBEHALTEN","1","0","0"
"ABBEISSEN","1","0","0"
"ABBEIZEN","1","0","0"
"ABBEIZMITTEL","1","0","0"
"ABBEKOMMEN","1","0","0"
"ABBERUFEN","1","0","0"
"ABBERUFUNG","1","0","0"
"ABBESTELLEN","1","0","0"
"ABBESTELLUNG","1","0","0"
"ABBETTELN","1","0","0"
"ABBEVILLIEN","1","0","0"
"ABBEZAHLEN","1","0","0"
"ABBIEGEMASCHINE","1","0","0"
"ABBIEGEN","1","0","0"
"ABBIEGUNG","1","0","0"
"ABBILD","1","0","0"
"ABBILDEN","1","0","0"
"ABBILDTHEORIE","1","0","0"
"ABBILDUNG","1","0","0"
"ABBINDEN","1","0","0"
"ABBISS","1","0","0"
"ABBITTE","1","0","0"
"ABBITTEN","1","0","0"
"ABBLASEN","1","0","0"
"ABBLASSEN","1","0","0"
"ABBLASSUNG","1","0","0"
"ABBLAETTERN","1","0","0"
"ABBLAETTERUNG","1","0","0"
"ABBLENDE","1","0","0"
"ABBLENDEN","1","0","0"
"ABBLENDLICHT","1","0","0"
"ABBLENDSCHALTER","1","0","0"
"ABBLITZEN","1","0","0"
"ABBLOCKEN","1","0","0"
"ABBLOCKUNG","1","0","0"
"ABBLUEHEN","1","0","0"
"ABBORGEN","1","0","0"
"ABBOESCHEN","1","0","0"
"ABBOESCHUNG","1","0","0"
"ABBRAND","1","0","0"
"ABBRAUSEN","1","0","0"
"ABBRAENDLER","1","0","0"
"ABBRECHEN","1","0","0"
"ABBRECHEND","1","0","0"
"ABBREMSEN","1","0","0"
"ABBREMSUNG","1","0","0"
"ABBRENNEN","1","0","0"
"ABBREVIATION","1","0","0"
"ABBREVIATUR","1","0","0"
"ABBREVIIEREN","1","0","0"
"ABBRICHT","1","0","0"
"ABBRINGEN","1","0","0"
"ABBROECKELN","1","0","0"
"ABBROECKELUNG","1","0","0"
"ABBRUCH","1","0","0"
"ABBRUCHFIRMA","1","0","0"
"ABBRUCHREIF","1","0","0"
"ABBRUCHSARBEIT","1","0","0"
"ABBRUCHSIEG","1","0","0"
"ABBRUCHSIEGER","1","0","0"
"ABBRUMMEN","1","0","0"
"ABBRUECHLICH","1","0","0"
"ABBRUEHEN","1","0","0"
"ABBUCHEN","1","0","0"
"ABBUCHUNG","1","0","0"
"ABBUERSTEN","1","0","0"
"ABBUESSEN","1","0","0"
"ABC","1","0","0"
"ABDACH","1","0","0"
